user_email,between_type,within_type,secondary_type,track_name,artist_name,artist_popularity,genres,track_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,like_score,splendid_score,is_add,songlist_elem_order,is_before_listened,recommend,list_type,period,satisfy_score,diversity_score,novelty_score
selenium_test0@gmail.com,1,1,0,drunk text,Henry Moodie,59,singer-songwriter pop,74,0.286,0.382,0.401,0.0,0,0.0851,-8.955,1,0.0851,185.636,3,0.145,1,8,True,0,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,字字句句,卢卢快闭嘴,49,chinese viral pop,70,0.732,0.488,0.452,0.0,2,0.108,-8.957,1,0.0456,138.072,4,0.368,1,10,False,1,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,Just Say Hello - Acoustic Version,甘草片r,38,,60,0.522,0.631,0.355,0.0,4,0.131,-8.189,1,0.0295,143.985,4,0.336,9,7,True,2,True,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,First Date,Adib Sin,33,,46,0.698,0.504,0.529,2.94e-06,0,0.105,-8.027,1,0.0679,180.14,4,0.368,3,2,False,3,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,Honest,rei brown,49,,54,0.825,0.798,0.44,0.0107,5,0.111,-8.96,1,0.0319,94.961,4,0.429,1,6,True,4,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,我要你,老狼,29,chinese minyao,34,0.731,0.621,0.318,0.000226,4,0.199,-10.746,1,0.0307,127.878,4,0.27,1,8,True,5,True,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,南山南,張磊,27,chinese drama ost,33,0.664,0.526,0.0543,0.0,0,0.742,-25.963,1,0.0362,129.912,4,0.22,5,4,False,6,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,阿拉斯加海湾,蓝心羽,43,chinese viral pop,48,0.729,0.589,0.388,1.11e-05,10,0.625,-10.467,1,0.044,114.652,4,0.249,7,2,False,7,True,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,The Way I Still Love You,Reynard Silva,27,deep r&b,32,0.624,0.361,0.703,0.0,8,0.104,-4.347,1,0.0549,83.72,4,0.487,9,3,False,8,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,Letting Go,吉克隽逸,33,,52,0.444,0.563,0.704,0.0,9,0.0671,-6.313,0,0.0355,135.978,4,0.435,7,5,False,9,True,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,0321,space x,49,chinese viral pop,66,0.625,0.658,0.417,0.0,2,0.132,-6.485,1,0.0366,171.974,4,0.0748,2,6,False,10,True,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,Last Dance,伍佰,53,"mandopop,taiwan singer-songwriter",57,0.0158,0.463,0.62,1.26e-06,6,0.195,-7.27,0,0.0289,151.311,4,0.492,9,10,False,11,False,WD,Weekly_Discovery,first,6,2,3
selenium_test0@gmail.com,1,1,0,当想你成为习惯,KeyKey,41,chinese viral pop,61,0.891,0.679,0.398,0.0,3,0.118,-12.373,1,0.0774,77.953,4,0.499,6,5,False,12,False,WD,Weekly_Discovery,first,6,2,3
